1989,2000,2101,585,387,728,1858,2174,3284,3518,381,1545,2931,1674,4998,2590,546,396,4227,871
137,2811,3874,2533,39,4372,1874,1070,2936,4373,3683,15,1247,4982,2764,1784,1722,4138,2519,292
1619,3231,1684,4060,3695,2425,2263,390,2823,4135,2298,1036,3345,719,683,4106,1837,131,2528,4803
4175,4266,3786,2174,4162,3905,3267,2872,2372,3017,1778,2472,3075,741,1540,4890,1246,174,825,4900
2089,292,1202,870,602,1834,3066,3851,3638,1355,3668,3095,3236,4710,838,2691,4442,4323,3887,3231
1136,4277,1598,3481,382,15,838,868,518,417,1049,3187,2981,1792,523,3887,162,1086,4860,719
2136,3887,1394,1025,3267,471,3874,4227,1378,2711,3122,2414,4014,1180,2176,3018,2000,1952,2631,973
2231,2117,3943,3406,3193,3001,1324,356,1324,3706,1314,4903,1678,3460,1150,506,1419,1163,4855,1194
2889,4103,2174,3122,2139,3231,586,1881,2347,1413,825,4188,2705,937,1664,4228,999,4330,3721,3570
3373,3622,4817,438,3091,1438,2013,4241,231,4453,2252,3425,2393,3503,3451,1438,2688,2701,3618,1381
3918,1834,2657,586,3759,306,1040,385,385,999,1457,960,313,2375,819,1036,1219,1972,4158,1450
1619,1023,4538,2676,3262,3494,356,3483,2961,1266,669,3802,3741,1814,433,4293,3695,1732,2920,4581
2141,3566,3961,2402,3129,2807,1973,1785,2764,4063,3166,583,378,2968,1438,3285,503,84,2872,1211
4758,1442,2013,4082,3947,1438,381,2179,1435,2490,2633,319,3048,3187,4051,720,3961,1481,730,3874
838,4292,720,2760,4194,3072,4582,146,450,2191,4735,1858,1291,3074,3091,165,2885,1814,3979,973
4758,1140,1439,1985,1989,819,552,2403,3887,2941,394,417,4451,945,4062,1381,3540,3695,264,3228
2789,4511,829,1787,480,3478,356,372,2760,866,3428,2436,2922,48,3817,2708,331,626,86,2530
2436,695,3230,2057,636,1870,2136,1002,1922,730,2747,2556,3405,3514,699,1838,4528,4972,3379,4632
99,207,417,3285,4459,1996,607,4421,4163,783,3502,2817,3984,4202,1627,4438,2907,855,3099,1395
2286,902,4755,4917,3315,372,2451,2945,4874,3425,3296,2371,417,31,4017,3868,1275,2289,3634,1374
351,3729,506,2191,2554,2762,3155,682,2729,4000,1991,1438,2558,711,719,4218,4699,1960,529,4447
3286,2191,1474,2507,4666,2436,3596,3995,4004,2278,3315,3874,3386,1688,536,3874,3675,2848,3189,3094
1619,2349,3729,4832,293,1626,2708,1664,4613,4597,4656,1154,2451,1306,1989,3748,2436,1909,2290,1395
3234,636,4127,1349,1443,671,2549,180,47,1826,1088,678,3992,3520,2541,4763,601,1766,408,3912
1545,2795,3642,3698,2237,3730,3462,3338,4978,2108,999,2014,1576,4151,2402,2333,163,2973,2974,4987
4175,417,1381,2512,1752,882,2286,631,775,3638,146,2748,2454,417,2530,1073,3481,417,417,1226
2334,523,4163,72,1946,1895,3069,2629,642,1242,2402,2904,1707,3318,1465,998,998,2263,2205,2472
351,2205,1023,2728,285,2514,646,4698,395,638,563,1545,3660,761,506,381,3607,3401,2084,3919
3757,3523,3076,715,1667,640,1844,4037,4213,586,1685,3692,3285,1330,1063,1901,3607,4377,2511,53
3013,1481,3563,3795,3436,89,4824,372,1461,669,4302,642,245,4851,3191,106,2368,881,4617,3206
3148,669,976,939,734,861,1853,3999,4495,2881,417,381,2922,506,4424,3303,3766,3271,1451,1481
441,998,3981,3572,68,4830,4481,4858,3632,3588,372,3693,2436,2041,1898,3825,1182,1260,1403,2760
1787,2729,120,3887,2941,3352,4570,1804,138,4108,2640,3075,206,744,1349,1574,808,231,385,2760
1581,1108,3741,3874,3313,1062,90,3169,2182,1344,4800,245,1674,3057,4415,4966,1972,3981,4769,4915
1642,1792,4126,4681,3686,2191,31,939,176,4908,152,4400,4373,2711,1962,262,173,3489,165,2535
2693,2278,2657,3187,417,2205,4632,3607,1060,135,668,232,1988,482,4573,417,682,299,1431,4217
4518,3120,4477,4041,913,4572,2437,1522,4909,1839,3067,3234,2858,3416,442,646,2465,641,2375,2891
1860,1794,113,2442,3813,1261,3902,3605,4790,138,3835,4768,2904,2731,1179,3240,939,3211,4666,861
1972,3739,3540,194,3887,3502,3521,2766,3514,2695,4532,3099,4667,480,210,3504,3049,2744,2672,4725
1664,998,4607,4689,331,4127,1868,198,1920,1598,2139,3138,4079,947,2760,2211,137,2530,65,3074
4626,4227,1163,2292,404,2940,3395,2244,568,3234,3632,3955,4151,993,2000,4855,4352,4127,22,2823
3575,695,3981,4966,4538,2053,506,78,2438,866,21,3590,2272,3075,1361,4805,135,3766,1111,3618
4435,3416,725,1266,838,3445,2656,1888,3416,433,2669,1625,1901,4168,2465,825,2089,1575,889,356
4293,719,1994,2359,3504,4528,4014,3730,4260,32,1219,4014,2389,3566,1272,1787,2622,730,173,688
838,2414,1165,1870,1661,4743,2531,1426,1598,2657,3991,2706,4298,956,1884,4479,4037,4039,4538,3885
4710,2224,185,4065,4682,921,2865,4763,2954,4725,4606,3706,346,2223,2695,2558,4101,4279,1501,2403
2185,3540,3874,4484,2865,3513,1529,1282,3856,3528,904,3874,1787,4618,2177,1883,2907,3493,1870,3280
4338,4225,2370,1040,3154,4424,646,3285,833,257,1620,4564,3109,1982,2790,3274,1726,3630,3692,4857
2058,441,667,1737,1787,1814,2947,2947,3118,162,4369,2191,223,273,3094,971,1226,4196,4329,948
1462,3410,2108,2639,2729,3906,1633,2347,1922,2904,3395,2519,4900,4181,3699,4518,696,552,1252,649
764,1911,705,2509,3918,938,3089,3285,3874,4063,3660,4788,312,2465,3887,962,4106,4268,2630,1863
1317,1568,4363,2314,2347,40,3622,4711,1638,2465,1787,3389,385,3315,1946,2701,1575,1237,3948,2141
3738,868,3695,4137,911,998,3606,990,3874,199,2731,3930,2015,1598,4369,3754,3500,4765,3814,1464
373,2584,4163,212,3370,2951,1271,728,1755,4564,4432,1271,2921,385,4760,1728,1481,81,2452,4323
1219,2528,508,1272,252,343,1184,1813,1598,2139,667,4106,3344,3550,1158,998,2809,183,1576,1881
135,2457,3521,373,4496,829,4852,3682,719,183,1913,2863,2321,1522,884,794,1354,15,1323,2590
4898,128,3887,138,3879,1901,2656,660,173,1843,3402,4586,1442,1054,2527,2128,2766,998,2713,4891
508,1481,2588,245,356,152,1124,2708,4251,1688,1995,1653,1001,1598,3574,3925,3078,4487,1339,2046
4175,2918,2296,2041,2846,3874,2128,737,4888,4477,3460,136,3811,3384,186,966,915,1576,832,3952
2657,2167,1920,757,3653,2014,3961,3575,1920,2136,4447,4994,2110,3382,176,1910,3926,895,1077,3786
99,4332,4342,2769,3952,2951,874,2432,4538,2087,4618,3390,4874,4151,152,3756,2685,35,2465,3918
4175,4266,3874,761,2715,1381,2861,2772,1339,4464,1243,2672,4212,223,4355,818,3927,4711,3887,4843
2657,1524,3706,3189,1438,2153,4744,238,3396,2693,113,2921,3027,4538,4697,4518,3430,4508,4481,1598
3817,3075,4744,2139,2139,1812,998,2598,3940,4743,1863,912,3977,116,1664,2661,1025,4985,2636,3735
4998,1946,2302,646,3502,49,4519,1742,4062,2125,4099,1345,3695,4261,1290,2944,2708,3887,3120,3200
925,4632,1949,4608,1989,1432,2941,2298,4292,4626,166,2,1077,2370,2352,882,2089,3279,4068,4855
3310,4586,4144,658,3989,2472,3874,1007,3117,396,3300,2451,4760,1787,3224,1837,2450,321,4908,604
3920,3842,3400,3153,3167,3730,3120,4418,1725,1059,4586,1702,3094,1575,4332,3619,2009,896,961,4998
2146,661,1067,1575,1577,1682,2789,2077,731,2802,4051,1077,3874,1892,3631,3919,1188,4207,580,3611
1438,2644,163,3730,2693,3047,4221,2939,867,3217,4749,4425,4213,2657,4881,955,679,646,4939,3048
1059,417,2136,1284,578,1598,3817,728,1884,1211,4037,1403,4103,3786,1798,3898,2000,15,2139,4419
4710,1946,2846,2714,480,1155,2644,4809,2361,2903,2223,2370,961,4994,3285,2474,2179,3285,3267,1035
2139,4455,2713,3007,1757,1016,1036,2480,942,2436,963,4630,1839,1605,2519,3886,3134,4264,3460,3694
3827,4844,4514,998,4163,998,1328,3521,3557,4437,4878,2118,702,1946,1279,2672,537,1008,2468,356
1597,3557,3303,4421,245,829,1970,602,4234,3757,764,799,3876,4128,4538,506,3939,4413,3930,3504
838,4271,3927,4992,488,566,1024,1653,632,2921,2389,4908,2008,2728,526,4942,2272,931,1702,2713
4743,4917,3919,4586,1850,4527,737,4392,2454,3700,1688,2281,1625,3337,819,2058,2545,2057,2191,349
3945,449,2835,1850,3972,4951,4122,3117,765,3676,315,4421,4451,3928,2298,1504,4908,3504,2760,3372
284,4342,4041,3540,333,2657,378,75,2829,486,4538,2941,4334,4985,1222,227,1339,4181,4350,3730
3148,4207,4293,4288,3126,3874,1629,1909,3984,2760,4646,4000,1059,2941,1154,2143,503,1946,3169,2202
4175,4363,3039,699,1438,1017,4423,2281,1169,1184,4151,2057,3887,899,646,3164,3607,1461,1276,428
2612,2835,518,4099,2015,677,3738,3947,2729,2148,4477,3351,3230,315,2696,2306,4377,1162,1837,2463
2657,3998,2071,2958,3216,1314,3646,4780,2701,3695,4738,731,1313,4014,3060,371,1097,4508,794,1970
1972,4895,4357,3607,585,4101,1664,1529,4987,378,348,4181,3341,3889,512,48,677,3007,203,4606
